product_name,year_month,warehouse_inventory,inventory_cost_per_unit,inventory_date
Perfect Fitness Perfect Rip Deck,201712,0,0.69517,2017-12-01
Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29291,2017-12-01
O'Brien Men's Neoprene Life Vest,201712,0,0.56531,2017-12-01
Nike Men's Free 5.0+ Running Shoe,201712,1,1.26321,2017-12-01
Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.47648,2017-12-01
Nike Men's CJ Elite 2 TD Football Cleat,201712,0,0.69591,2017-12-01
Field & Stream Sportsman 16 Gun Fire Safe,201712,0,1.39148,2017-12-01
Pelican Sunstream 100 Kayak,201712,0,0.20291,2017-12-01
Diamondback Women's Serene Classic Comfort Bi,201712,0,1.54601,2017-12-01
ENO Atlas Hammock Straps,201712,0,0.48119,2017-12-01
Nike Men's Comfort 2 Slide,201712,0,1.96183,2017-12-01
adidas Youth Germany Black/Red Away Match Soc,201712,0,2.07809,2017-12-01
Team Golf St. Louis Cardinals Putter Grip,201712,0,0.6607,2017-12-01
LIJA Women's Eyelet Sleeveless Golf Polo,201712,0,1.50903,2017-12-01
adidas Men's F10 Messi TRX FG Soccer Cleat,201712,0,1.66425,2017-12-01
Glove It Women's Imperial Golf Glove,201712,0,1.56399,2017-12-01
Glove It Imperial Golf Towel,201712,0,2.24724,2017-12-01
Bridgestone e6 Straight Distance NFL Carolina,201712,0,1.06684,2017-12-01
Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16158,2017-12-01
Columbia Men's PFG Anchor Tough T-Shirt,201712,0,0.47667,2017-12-01
Under Armour Women's Ignite Slide,201712,2,1.00809,2017-12-01
Team Golf Tennessee Volunteers Putter Grip,201712,0,0.35118,2017-12-01
Titleist Pro V1x High Numbers Personalized Go,201712,0,0.75101,2017-12-01
Nike Men's Deutschland Weltmeister Winners Bl,201712,0,1.00566,2017-12-01
Bridgestone e6 Straight Distance NFL San Dieg,201712,0,0.20643,2017-12-01
Nike Women's Tempo Shorts,201712,0,1.62777,2017-12-01
Team Golf Texas Longhorns Putter Grip,201712,2,2.24605,2017-12-01
Hirzl Women's Soffft Flex Golf Glove,201712,0,0.5795,2017-12-01
Clicgear 8.0 Shoe Brush,201712,0,1.39674,2017-12-01
Hirzl Women's Hybrid Golf Glove,201712,0,1.06069,2017-12-01
Team Golf Pittsburgh Steelers Putter Grip,201712,0,0.43135,2017-12-01
Top Flite Women's 2017 XL Hybrid,201712,0,0.55428,2017-12-01
Glove It Urban Brick Golf Towel,201712,0,0.70054,2017-12-01
Nike Dri-FIT Crew Sock 6 Pack,201712,0,1.5948,2017-12-01
TYR Boys' Team Digi Jammer,201712,0,0.63609,2017-12-01
Team Golf San Francisco Giants Putter Grip,201712,0,1.88895,2017-12-01
Clicgear Rovic Cooler Bag,201712,0,1.29098,2017-12-01
Hirzl Men's Hybrid Golf Glove,201712,0,1.06017,2017-12-01
Titleist Pro V1x Golf Balls,201712,0,0.24553,2017-12-01
adidas Men's Germany Black Crest Away Tee,201712,0,1.27932,2017-12-01
Titleist Pro V1 High Numbers Personalized Gol,201712,0,0.94013,2017-12-01
Under Armour Women's Micro G Skulpt Running S,201712,0,2.31993,2017-12-01
Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.0308,2017-12-01
Under Armour Women's Ignite PIP VI Slide,201712,0,1.88977,2017-12-01
Bag Boy Beverage Holder,201712,0,0.73373,2017-12-01
Under Armour Men's Tech II T-Shirt,201712,0,0.88756,2017-12-01
Team Golf New England Patriots Putter Grip,201712,0,1.88503,2017-12-01
Under Armour Men's Compression EV SL Slide,201712,0,0.77155,2017-12-01
Bridgestone e6 Straight Distance NFL Tennesse,201712,0,0.83715,2017-12-01
Glove It Women's Mod Oval Golf Glove,201712,0,0.79216,2017-12-01
Titleist Pro V1x High Numbers Golf Balls,201712,0,0.4519,2017-12-01
Nike Women's Legend V-Neck T-Shirt,201712,0,1.72672,2017-12-01
Under Armour Kids' Mercenary Slide,201712,0,0.30745,2017-12-01
adidas Kids' F5 Messi FG Soccer Cleat,201712,0,0.28923,2017-12-01
Children's heaters,201712,0,0.33793,2017-12-01
Web Camera,201712,0,1.1257,2017-12-01
Dell Laptop,201712,14,1.56369,2017-12-01
Porcelain crafts,201712,0,1.27555,2017-12-01
Sports Books,201712,2,0.99933,2017-12-01
DVDs,201712,64,2.03553,2017-12-01
Industrial consumer electronics,201712,0,1.98371,2017-12-01
Fighting video games,201712,4,1.87778,2017-12-01
Summer dresses,201712,13,1.3625,2017-12-01
Lawn mower,201712,4,1.34376,2017-12-01
Adult dog supplies,201712,2,2.07928,2017-12-01
Rock music,201712,16,2.26272,2017-12-01
Elevation Training Mask 2.0,201712,0,2.01992,2017-12-01
LIJA Women's Mid-Length Panel Golf Shorts,201712,0,1.87068,2017-12-01
Toys,201712,133,0.19512,2017-12-01
Brooks Women's Ghost 6 Running Shoe,201712,0,0.87784,2017-12-01
Bag Boy M330 Push Cart,201712,0,0.89532,2017-12-01
Merrell Women's Grassbow Sport Hiking Shoe,201712,0,2.33326,2017-12-01
Nike Men's Free TR 5.0 TB Training Shoe,201712,0,1.64028,2017-12-01
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201712,0,0.76304,2017-12-01
First aid kit,201712,18,0.18893,2017-12-01
CDs of rock,201712,0,1.2039,2017-12-01
Polar FT4 Heart Rate Monitor,201712,0,1.91129,2017-12-01
LIJA Women's Argyle Golf Polo,201712,0,0.42388,2017-12-01
TaylorMade White Smoke IN-12 Putter,201712,0,1.5587,2017-12-01
Fitbit The One Wireless Activity & Sleep Trac,201712,0,0.35075,2017-12-01
Nike Kids' Grade School KD VI Basketball Shoe,201712,0,1.44465,2017-12-01
The North Face Women's Recon Backpack,201712,0,0.28817,2017-12-01
Smart watch,201712,42,1.58784,2017-12-01
Baby sweater,201712,0,2.06503,2017-12-01
MDGolf Pittsburgh Penguins Putter,201712,0,1.1476,2017-12-01
Men's gala suit,201712,3,1.57465,2017-12-01
Merrell Men's All Out Flash Trail Running Sho,201712,0,0.24096,2017-12-01
Garmin Approach S3 Golf GPS Watch,201712,0,1.09327,2017-12-01
LIJA Women's Button Golf Dress,201712,0,1.1183,2017-12-01
Cleveland Golf Women's 588 RTX CB Satin Chrom,201712,0,1.26731,2017-12-01
Merrell Women's Siren Mid Waterproof Hiking B,201712,0,1.74796,2017-12-01
TaylorMade Women's RBZ SL Rescue,201712,0,1.3918,2017-12-01
Mio ALPHA Heart Rate Monitor/Sport Watch,201712,0,2.08941,2017-12-01
TaylorMade 2017 Purelite Stand Bag,201712,0,0.95654,2017-12-01
Cleveland Golf Collegiate My Custom Wedge 588,201712,0,0.66784,2017-12-01
adidas Brazuca 2017 Official Match Ball,201712,0,1.0839,2017-12-01
Nike Men's Fingertrap Max Training Shoe,201712,0,0.90172,2017-12-01
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201712,0,1.60391,2017-12-01
Nike Men's Kobe IX Elite Low Basketball Shoe,201712,0,0.43288,2017-12-01
Ogio Race Golf Shoes,201712,0,0.34053,2017-12-01
insta-bed Neverflat Air Mattress,201712,0,2.22542,2017-12-01
GolfBuddy VT3 GPS Watch,201712,0,1.59059,2017-12-01
Merrell Women's Grassbow Sport Waterproof Hik,201712,0,0.93751,2017-12-01
Titleist Small Wheeled Travel Cover,201712,0,0.61532,2017-12-01
Polar Loop Activity Tracker,201712,0,2.27348,2017-12-01
Pelican Maverick 100X Kayak,201712,0,2.11183,2017-12-01
Garmin Approach S4 Golf GPS Watch,201712,0,1.04738,2017-12-01
Total Gym 1400,201712,0,2.00022,2017-12-01
Garmin Forerunner 910XT GPS Watch,201712,0,0.23621,2017-12-01
Titleist Club Glove Travel Cover,201712,0,1.37169,2017-12-01
GoPro HERO3+ Black Edition Camera,201712,0,1.43061,2017-12-01
Diamondback Boys' Insight 24 Performance Hybr,201712,0,0.94231,2017-12-01
Diamondback Girls' Clarity 24 Hybrid Bike 201,201712,0,0.3946,2017-12-01
Stiga Master Series ST3100 Competition Indoor,201712,0,0.46527,2017-12-01
SOLE E35 Elliptical,201712,1,0.36106,2017-12-01
Bushnell Pro X7 Jolt Slope Rangefinder,201712,9,2.22684,2017-12-01
SOLE E25 Elliptical,201712,23,1.84297,2017-12-01
Bowflex SelectTech 1090 Dumbbells,201712,36,1.49431,2017-12-01
Perfect Fitness Perfect Rip Deck,201711,7,2.30448,2017-11-01
Nike Men's Dri-FIT Victory Golf Polo,201711,14,1.05628,2017-11-01
O'Brien Men's Neoprene Life Vest,201711,0,1.96228,2017-11-01
Nike Men's Free 5.0+ Running Shoe,201711,3,2.24632,2017-11-01
Under Armour Girls' Toddler Spine Surge Runni,201711,5,0.41294,2017-11-01
Nike Men's CJ Elite 2 TD Football Cleat,201711,0,1.17278,2017-11-01
Field & Stream Sportsman 16 Gun Fire Safe,201711,0,2.21846,2017-11-01
Pelican Sunstream 100 Kayak,201711,0,0.17196,2017-11-01
Diamondback Women's Serene Classic Comfort Bi,201711,0,0.60975,2017-11-01
ENO Atlas Hammock Straps,201711,0,1.68268,2017-11-01
